id,tweet,time,description
1286708424953278470,RT @eahcalanait: My sister and I lost our only family earlier this week to Covid-19. We’ve started a go fund raiser to help us financially…,2020-07-24 17:02:49,Professional Fencist. E ni pa mi.
1286708067954864129,Jeff Bernat for life😋🤩🤩🤩 https://t.co/DRoN8OyWhC https://t.co/UA9E6mOUIg,2020-07-24 17:01:23,🇲🇾 #softjiwonieupdate #softjiwoniearrival #softjiwoniefeedback
1286707800207429632,Scamdemic https://t.co/92m9GKsfke,2020-07-24 17:00:20,"All I can do is be me, whoever that is"
1286708395966431234,"RT @ndeverydayistay: Wild how the music industry went from ""A-list artists are delaying album releases because of COVID"" to ""every A-list a…",2020-07-24 17:02:42,I love kpop and I love pandas 🐼 VERY Small BTS fan account
1286707781706317825,"From @OBGinsights: Covid-19: a new dawn for impact investing in emerging economies?
 https://t.co/bMcvh3Db05 https://t.co/IcgLonDhfR",2020-07-24 17:00:15,"Research, insights & news on Corporate Sustainability, Social Enterprise, and Responsible Investment | Rotman School of Management, University of Toronto"
1286708319369953285,@baap_0 @kennih592 @veryBitterLand @punjabest @Yeqzids before it had become a pandemic worldwide. So China might’ve… https://t.co/0TUAGNI99V,2020-07-24 17:02:23,boo-fucking-hoo🏳️‍🌈 danganronpa resides in my heart
1286708395022721029,"RT @Pervaizistan: NEW: A coronavirus vaccine likely will not be ""widely available"" to people in the U.S. until ""several months” into next y…",2020-07-24 17:02:41,🎩
1286708039626772491,"In March, in a different era of this pandemic hellscape, I walked 20 miles around Brooklyn distributing sourdough s… https://t.co/s7CTi6k5qr",2020-07-24 17:01:17,Senior editor @foodandwine • margaret.eby@foodandwine.com • I wrote SOUTH TOWARD HOME •  I will always order the thing on the menu that is served on fire
1286708461795831808,"Republicanset progressives take over public education. They let progressives take over the media.
Time to take a ha… https://t.co/siwb05kNHV",2020-07-24 17:02:57,"100% PC-Free,
Proud Conservative,
30 years as EDUCATOR at highschool level,-- in other words, a MINORITY. 
#MAGA 
(ready to show up in DC when the time comes)"
1286708177363402752,@SeanMac777333 @Wklawrence @va_shiva @cdc No he's just a dumb ass and doesn't know its there yet,2020-07-24 17:01:50,
